flow,snapshot,value,unit
XY_CE_to_XY_SO,2050-11-26 04:00:00,-1291.4512296490184,MW
XY_CE_to_XY_SO,2050-11-27 05:00:00,-184.050610805764,MW
XY_CE_to_XY_SO,2050-11-28 06:00:00,-211.94497444119474,MW
XY_CE_to_XY_SO,2050-11-29 07:00:00,-1350.074979298697,MW
XY_CE_to_XY_SO,2050-11-30 08:00:00,-1072.7586973283496,MW
XY_CE_to_XY_SO,2050-12-01 09:00:00,-1151.2451247977901,MW
XY_CE_to_XY_SO,2050-12-02 10:00:00,-1224.8856379186595,MW
XY_CE_to_XY_SO,2050-12-03 11:00:00,-1164.0677291810046,MW
XY_CE_to_XY_SO,2050-12-04 12:00:00,-1354.470377371449,MW
XY_CE_to_XY_SO,2050-12-05 13:00:00,-1700.0,MW
XY_CE_to_XY_SO,2050-12-06 14:00:00,-691.4506994162311,MW
XY_CE_to_XY_SO,2050-12-07 15:00:00,800.4567403101933,MW
XY_CE_to_XY_SO,2050-12-08 16:00:00,122.10164661431543,MW
XY_CE_to_XY_SO,2050-12-09 17:00:00,-1700.0,MW
XY_CE_to_XY_SO,2050-12-10 18:00:00,-1700.0,MW
XY_CE_to_XY_SO,2050-12-11 19:00:00,-1700.0,MW
XY_CE_to_XY_SO,2050-12-12 20:00:00,-1700.0,MW
XY_CE_to_XY_SO,2050-12-13 21:00:00,-1700.0,MW
XY_CE_to_XY_SO,2050-12-14 22:00:00,-1634.9784385292237,MW
XY_CE_to_XY_SO,2050-12-15 23:00:00,-1700.0,MW
XY_CE_to_XY_SO,2050-12-17 00:00:00,-1700.0,MW
XY_CE_to_XY_SO,2050-12-18 01:00:00,-1454.689388786947,MW
XY_CE_to_XY_SO,2050-12-19 02:00:00,-465.5603215316707,MW
XY_CE_to_XY_SO,2050-12-20 03:00:00,-135.1871185235533,MW
XY_CE_to_XY_SO,2050-12-21 04:00:00,136.64968113608984,MW
XY_CE_to_XY_SO,2050-12-22 05:00:00,627.6076337182528,MW
XY_CE_to_XY_SO,2050-12-23 06:00:00,380.52115821544794,MW
XY_CE_to_XY_SO,2050-12-24 07:00:00,-89.16202903115584,MW
XY_CE_to_XY_SO,2050-12-25 08:00:00,-1700.0,MW
XY_CE_to_XY_SO,2050-12-26 09:00:00,-1700.0,MW
XY_CE_to_XY_SO,2050-12-27 10:00:00,-1664.012493709437,MW
XY_CE_to_XY_SO,2050-12-28 11:00:00,-258.8837536645515,MW
XY_CE_to_XY_SO,2050-12-29 12:00:00,294.114105514308,MW
XY_CE_to_XY_SO,2050-12-30 13:00:00,-357.09676335890435,MW
XY_CE_to_XY_SO,2050-12-31 14:00:00,-1.239701338316081,MW
XY_CE_to_XY_SO,2051-01-01 15:00:00,-1700.0,MW
YZ_CE_to_YZ_NR,2050-01-01 00:00:00,3100.0,MW
