snapshot,region,status,value,country,unit
2035-07-11 16:00:00,NR,charging,16.80000000001,XY,MW
2035-07-12 17:00:00,SO,charging,13.263157894750002,XY,MW
2035-07-13 18:00:00,CE,charging,14.14736842107,XY,MW
2035-07-14 19:00:00,NR,charging,16.80000000001,XY,MW
2035-07-15 20:00:00,SO,charging,13.263157894750002,XY,MW
2035-07-16 21:00:00,CE,charging,11.452631578950001,XY,MW
2035-07-17 22:00:00,NR,charging,13.60000000001,XY,MW
2035-07-18 23:00:00,SO,charging,10.73684210527,XY,MW
2035-07-20 00:00:00,CE,charging,8.084210526309999,XY,MW
2035-07-21 01:00:00,NR,charging,9.600000000009999,XY,MW
2035-07-22 02:00:00,SO,charging,7.57894736843,XY,MW
2035-07-23 03:00:00,CE,charging,2.357894736844,XY,MW
2035-07-24 04:00:00,NR,charging,2.800000000002,XY,MW
2035-07-25 05:00:00,SO,charging,2.210526315792,XY,MW
2035-07-26 06:00:00,CE,charging,9.09473684211,XY,MW
2035-07-27 07:00:00,NR,charging,10.80000000001,XY,MW
2035-07-28 08:00:00,SO,charging,8.52631578949,XY,MW
2035-07-29 09:00:00,CE,charging,8.084210526309999,XY,MW
2035-07-30 10:00:00,NR,charging,9.600000000009999,XY,MW
2035-07-31 11:00:00,SO,charging,7.57894736843,XY,MW
2035-08-01 12:00:00,CE,charging,14.82105263159,XY,MW
2035-08-02 13:00:00,NR,charging,17.600000000010002,XY,MW
2035-08-03 14:00:00,SO,charging,13.894736842120002,XY,MW
2035-08-04 15:00:00,CE,charging,17.5157894737,XY,MW
2035-08-05 16:00:00,NR,charging,20.80000000002,XY,MW
2035-08-06 17:00:00,SO,charging,16.42105263159,XY,MW
2035-08-07 18:00:00,CE,charging,19.536842105269997,XY,MW
2035-08-08 19:00:00,NR,charging,23.200000000019998,XY,MW
2035-08-09 20:00:00,SO,charging,18.3157894737,XY,MW
2035-08-10 21:00:00,CE,charging,21.221052631590002,XY,MW
2035-08-11 22:00:00,NR,charging,25.20000000001,XY,MW
2035-08-12 23:00:00,SO,charging,19.894736842120004,XY,MW
2035-08-14 00:00:00,CE,charging,22.23157894738,XY,MW
2035-08-15 01:00:00,NR,charging,26.40000000002,XY,MW
2035-08-16 02:00:00,SO,charging,20.842105263180002,XY,MW
2035-08-17 03:00:00,CE,charging,25.60000000002,XY,MW
2035-08-18 04:00:00,NR,charging,30.40000000002,XY,MW
2035-08-19 05:00:00,SO,charging,24.000000000020002,XY,MW
2035-08-20 06:00:00,CE,charging,28.294736842120003,XY,MW
2035-08-21 07:00:00,NR,charging,33.60000000003,XY,MW
2035-08-22 08:00:00,SO,charging,26.526315789500003,XY,MW
2035-08-23 09:00:00,CE,charging,30.315789473709998,XY,MW
2035-08-24 10:00:00,NR,charging,36.00000000003,XY,MW
2035-08-25 11:00:00,SO,charging,28.421052631609996,XY,MW
2035-08-26 12:00:00,CE,charging,30.315789473709998,XY,MW
2035-08-27 13:00:00,NR,charging,36.00000000003,XY,MW
2035-08-28 14:00:00,SO,charging,28.421052631609996,XY,MW
2035-08-29 15:00:00,CE,charging,28.294736842120003,XY,MW
2035-08-30 16:00:00,NR,charging,33.60000000003,XY,MW
2035-08-31 17:00:00,SO,charging,26.526315789500003,XY,MW
2035-09-01 18:00:00,CE,charging,24.25263157896,XY,MW
2035-09-02 19:00:00,NR,charging,28.80000000002,XY,MW
2035-09-03 20:00:00,SO,charging,22.736842105279997,XY,MW
