snapshot,country,status,value,unit
2040-07-07 13:00:00,XY,powerFlow,0.0,MW
2040-07-08 14:00:00,XY,powerFlow,0.0,MW
2040-07-09 15:00:00,XY,powerFlow,0.0,MW
2040-07-10 16:00:00,XY,powerFlow,0.0,MW
2040-07-11 17:00:00,XY,powerFlow,0.0,MW
2040-07-12 18:00:00,XY,powerFlow,0.0,MW
2040-07-13 19:00:00,XY,powerFlow,0.0,MW
2040-07-14 20:00:00,XY,powerFlow,0.0,MW
2040-07-15 21:00:00,XY,powerFlow,0.0,MW
2040-07-16 22:00:00,XY,powerFlow,0.0,MW
2040-07-17 23:00:00,XY,powerFlow,0.0,MW
2040-07-19 00:00:00,XY,powerFlow,0.0,MW
2040-07-20 01:00:00,XY,powerFlow,0.0,MW
2040-07-21 02:00:00,XY,powerFlow,0.0,MW
2040-07-22 03:00:00,XY,powerFlow,0.0,MW
2040-07-23 04:00:00,XY,powerFlow,0.0,MW
2040-07-24 05:00:00,XY,powerFlow,0.0,MW
2040-07-25 06:00:00,XY,powerFlow,0.0,MW
2040-07-26 07:00:00,XY,powerFlow,0.0,MW
2040-07-27 08:00:00,XY,powerFlow,0.0,MW
2040-07-28 09:00:00,XY,powerFlow,0.0,MW
2040-07-29 10:00:00,XY,powerFlow,0.0,MW
2040-07-30 11:00:00,XY,powerFlow,0.0,MW
2040-07-31 12:00:00,XY,powerFlow,0.0,MW
2040-08-01 13:00:00,XY,powerFlow,0.0,MW
2040-08-02 14:00:00,XY,powerFlow,0.0,MW
2040-08-03 15:00:00,XY,powerFlow,0.0,MW
2040-08-04 16:00:00,XY,powerFlow,0.0,MW
2040-08-05 17:00:00,XY,powerFlow,0.0,MW
2040-08-06 18:00:00,XY,powerFlow,0.0,MW
2040-08-07 19:00:00,XY,powerFlow,0.0,MW
2040-08-08 20:00:00,XY,powerFlow,0.0,MW
2040-08-09 21:00:00,XY,powerFlow,0.0,MW
2040-08-10 22:00:00,XY,powerFlow,0.0,MW
2040-08-11 23:00:00,XY,powerFlow,0.0,MW
2040-08-13 00:00:00,XY,powerFlow,0.0,MW
2040-08-14 01:00:00,XY,powerFlow,0.0,MW
2040-08-15 02:00:00,XY,powerFlow,0.0,MW
2040-08-16 03:00:00,XY,powerFlow,0.0,MW
2040-08-17 04:00:00,XY,powerFlow,0.0,MW
2040-08-18 05:00:00,XY,powerFlow,0.0,MW
2040-08-19 06:00:00,XY,powerFlow,0.0,MW
2040-08-20 07:00:00,XY,powerFlow,0.0,MW
2040-08-21 08:00:00,XY,powerFlow,0.0,MW
2040-08-22 09:00:00,XY,powerFlow,0.0,MW
2040-08-23 10:00:00,XY,powerFlow,0.0,MW
2040-08-24 11:00:00,XY,powerFlow,0.0,MW
2040-08-25 12:00:00,XY,powerFlow,0.0,MW
2040-08-26 13:00:00,XY,powerFlow,0.0,MW
2040-08-27 14:00:00,XY,powerFlow,0.0,MW
2040-08-28 15:00:00,XY,powerFlow,0.0,MW
2040-08-29 16:00:00,XY,powerFlow,0.0,MW
2040-08-30 17:00:00,XY,powerFlow,0.0,MW
2040-08-31 18:00:00,XY,powerFlow,0.0,MW
2040-09-01 19:00:00,XY,powerFlow,0.0,MW
2040-09-02 20:00:00,XY,powerFlow,0.0,MW
2040-09-03 21:00:00,XY,powerFlow,0.0,MW
2040-09-04 22:00:00,XY,powerFlow,0.0,MW
2040-09-05 23:00:00,XY,powerFlow,0.0,MW
2040-09-07 00:00:00,XY,powerFlow,0.0,MW
2040-09-08 01:00:00,XY,powerFlow,0.0,MW
2040-09-09 02:00:00,XY,powerFlow,0.0,MW
2040-09-10 03:00:00,XY,powerFlow,0.0,MW
2040-09-11 04:00:00,XY,powerFlow,0.0,MW
2040-09-12 05:00:00,XY,powerFlow,0.0,MW
2040-09-13 06:00:00,XY,powerFlow,0.0,MW
2040-09-14 07:00:00,XY,powerFlow,0.0,MW
2040-09-15 08:00:00,XY,powerFlow,0.0,MW
2040-09-16 09:00:00,XY,powerFlow,0.0,MW
2040-09-17 10:00:00,XY,powerFlow,0.0,MW
2040-09-18 11:00:00,XY,powerFlow,0.0,MW
2040-09-19 12:00:00,XY,powerFlow,0.0,MW
2040-09-20 13:00:00,XY,powerFlow,0.0,MW
2040-09-21 14:00:00,XY,powerFlow,0.0,MW
2040-09-22 15:00:00,XY,powerFlow,0.0,MW
2040-09-23 16:00:00,XY,powerFlow,0.0,MW
2040-09-24 17:00:00,XY,powerFlow,0.0,MW
2040-09-25 18:00:00,XY,powerFlow,0.0,MW
2040-09-26 19:00:00,XY,powerFlow,0.0,MW
2040-09-27 20:00:00,XY,powerFlow,0.0,MW
2040-09-28 21:00:00,XY,powerFlow,0.0,MW
2040-09-29 22:00:00,XY,powerFlow,0.0,MW
2040-09-30 23:00:00,XY,powerFlow,0.0,MW
2040-10-02 00:00:00,XY,powerFlow,0.0,MW
2040-10-03 01:00:00,XY,powerFlow,0.0,MW
2040-10-04 02:00:00,XY,powerFlow,0.0,MW
2040-10-05 03:00:00,XY,powerFlow,0.0,MW
2040-10-06 04:00:00,XY,powerFlow,0.0,MW
2040-10-07 05:00:00,XY,powerFlow,0.0,MW
2040-10-08 06:00:00,XY,powerFlow,0.0,MW
2040-10-09 07:00:00,XY,powerFlow,0.0,MW
2040-10-10 08:00:00,XY,powerFlow,0.0,MW
2040-10-11 09:00:00,XY,powerFlow,0.0,MW
2040-10-12 10:00:00,XY,powerFlow,0.0,MW
2040-10-13 11:00:00,XY,powerFlow,0.0,MW
2040-10-14 12:00:00,XY,powerFlow,0.0,MW
2040-10-15 13:00:00,XY,powerFlow,0.0,MW
2040-10-16 14:00:00,XY,powerFlow,0.0,MW
2040-10-17 15:00:00,XY,powerFlow,0.0,MW
2040-10-18 16:00:00,XY,powerFlow,0.0,MW
2040-10-19 17:00:00,XY,powerFlow,0.0,MW
