country,region,technology,year,value,unit
XY,CE,HDAM,2030,1.0,GW
XY,NR,HDAM,2030,1.2,GW
XY,SO,HDAM,2030,0.3,GW
XY,CE,BIOT,2035,0.94,GW
XY,CE,CCGT,2035,16.1,GW
XY,CE,NUCL,2035,1.5,GW
XY,CE,SubC,2035,3.4,GW
XY,CE,WSTT,2035,0.02,GW
XY,NR,BIOT,2035,0.61,GW
XY,NR,NUCL,2035,0.06,GW
XY,NR,SubC,2035,2.4,GW
XY,NR,WSTT,2035,0.02,GW
XY,SO,BIOT,2035,0.63,GW
XY,SO,CCGT,2035,1.7,GW
XY,SO,OILT,2035,0.31,GW
XY,SO,WSTT,2035,0.02,GW
YZ,CE,CCGT,2035,3.2,GW
YZ,CE,OCGT,2035,1.0,GW
YZ,CE,SubC,2035,1.0,GW
YZ,CE,SupC,2035,1.3,GW
YZ,NR,BIOT,2035,0.01,GW
YZ,NR,CCGT,2035,3.0,GW
YZ,NR,OCGT,2035,4.5,GW
YZ,NR,OILT,2035,0.4,GW
YZ,NR,SubC,2035,6.0,GW
YZ,NR,SupC,2035,4.0,GW
YZ,SO,CCGT,2035,2.5,GW
YZ,SO,OCGT,2035,2.1,GW
YZ,SO,SubC,2035,1.9,GW
YZ,SO,SupC,2035,1.0,GW
XY,CE,PHOT,2035,4.72,GW
XY,CE,RTPV,2035,0.03,GW
XY,NR,PHOT,2035,0.52,GW
XY,NR,RTPV,2035,0.32,GW
XY,NR,WTON,2035,0.06,GW
XY,SO,PHOT,2035,3.88,GW
XY,SO,RTPV,2035,0.04,GW
XY,SO,WTON,2035,4.11,GW
YZ,CE,RTPV,2035,0.03,GW
YZ,CE,WTON,2035,11.98,GW
YZ,NR,HROR,2035,8.5,GW
YZ,NR,PHOT,2035,0.4,GW
YZ,NR,RTPV,2035,0.32,GW
YZ,NR,WTON,2035,4.95,GW
YZ,SO,PHOT,2035,4.86,GW
YZ,SO,RTPV,2035,0.04,GW
YZ,SO,WTON,2035,4.07,GW
XY,CE,HDAM,2035,1.0,GW
XY,NR,HDAM,2035,1.2,GW
XY,SO,HDAM,2035,0.3,GW
XY,CE,BIOT,2040,0.94,GW
XY,CE,CCGT,2040,12.0,GW
XY,CE,NUCL,2040,1.5,GW
XY,CE,SubC,2040,3.4,GW
XY,CE,WSTT,2040,0.02,GW
XY,NR,BIOT,2040,0.61,GW
XY,NR,NUCL,2040,0.06,GW
XY,NR,SubC,2040,2.4,GW
XY,NR,WSTT,2040,0.02,GW
XY,SO,BIOT,2040,0.63,GW
XY,SO,CCGT,2040,0.94,GW
XY,SO,OILT,2040,0.31,GW
XY,SO,WSTT,2040,0.02,GW
YZ,CE,CCGT,2040,3.2,GW
YZ,CE,OCGT,2040,1.0,GW
YZ,CE,SubC,2040,1.0,GW
YZ,CE,SupC,2040,1.3,GW
YZ,NR,BIOT,2040,0.01,GW
YZ,NR,CCGT,2040,3.0,GW
YZ,NR,OCGT,2040,4.5,GW
YZ,NR,OILT,2040,0.4,GW
YZ,NR,SubC,2040,6.0,GW
YZ,NR,SupC,2040,4.0,GW
YZ,SO,CCGT,2040,2.5,GW
YZ,SO,OCGT,2040,2.1,GW
YZ,SO,SubC,2040,1.9,GW
YZ,SO,SupC,2040,1.0,GW
XY,CE,CSP,2040,0.77,GW
XY,CE,PHOT,2040,4.72,GW
XY,CE,RTPV,2040,0.03,GW
XY,NR,PHOT,2040,0.52,GW
XY,NR,RTPV,2040,0.32,GW
XY,NR,WTON,2040,0.06,GW
XY,SO,PHOT,2040,6.75,GW
XY,SO,RTPV,2040,0.04,GW
XY,SO,WTON,2040,5.33,GW
YZ,CE,RTPV,2040,0.03,GW
YZ,CE,WTON,2040,13.15,GW
YZ,NR,HROR,2040,8.5,GW
YZ,NR,PHOT,2040,0.4,GW
YZ,NR,RTPV,2040,0.32,GW
YZ,NR,WTON,2040,6.8,GW
YZ,SO,PHOT,2040,6.32,GW
YZ,SO,RTPV,2040,0.04,GW
YZ,SO,WTON,2040,4.07,GW
XY,CE,HDAM,2040,1.0,GW
XY,NR,HDAM,2040,1.2,GW
XY,SO,HDAM,2040,0.3,GW
XY,CE,BIOT,2045,0.94,GW
XY,CE,CCGT,2045,6.6,GW
XY,CE,NUCL,2045,1.5,GW
XY,CE,SubC,2045,3.4,GW
XY,CE,WSTT,2045,0.02,GW
XY,NR,BIOT,2045,0.61,GW
XY,NR,NUCL,2045,0.06,GW
XY,NR,SubC,2045,2.4,GW
XY,NR,WSTT,2045,0.02,GW
XY,SO,BIOT,2045,0.63,GW
XY,SO,CCGT,2045,0.01,GW
XY,SO,OILT,2045,0.31,GW
XY,SO,WSTT,2045,0.02,GW
YZ,CE,CCGT,2045,3.2,GW
YZ,CE,OCGT,2045,1.0,GW
YZ,CE,SubC,2045,1.0,GW
YZ,CE,SupC,2045,1.3,GW
YZ,NR,BIOT,2045,0.01,GW
YZ,NR,CCGT,2045,3.0,GW
YZ,NR,OCGT,2045,4.5,GW
YZ,NR,OILT,2045,0.4,GW
YZ,NR,SubC,2045,6.0,GW
YZ,NR,SupC,2045,4.0,GW
YZ,SO,CCGT,2045,2.5,GW
YZ,SO,OCGT,2045,2.1,GW
YZ,SO,SubC,2045,1.9,GW
YZ,SO,SupC,2045,1.0,GW
XY,CE,CSP,2045,0.77,GW
XY,CE,PHOT,2045,5.23,GW
XY,CE,RTPV,2045,0.03,GW
XY,NR,PHOT,2045,0.52,GW
XY,NR,RTPV,2045,0.32,GW
XY,NR,WTON,2045,0.06,GW
XY,SO,PHOT,2045,15.76,GW
XY,SO,RTPV,2045,0.04,GW
XY,SO,WTON,2045,8.34,GW
YZ,CE,PHOT,2045,14.64,GW
YZ,CE,RTPV,2045,0.03,GW
YZ,CE,WTON,2045,13.15,GW
YZ,NR,HROR,2045,8.5,GW
YZ,NR,PHOT,2045,22.65,GW
YZ,NR,RTPV,2045,0.32,GW
YZ,NR,WTON,2045,6.8,GW
YZ,SO,PHOT,2045,12.22,GW
YZ,SO,RTPV,2045,0.04,GW
YZ,SO,WTON,2045,4.07,GW
XY,CE,HDAM,2045,1.0,GW
XY,NR,HDAM,2045,1.2,GW
XY,SO,HDAM,2045,0.3,GW
XY,CE,BIOT,2050,0.94,GW
XY,CE,CCGT,2050,6.6,GW
XY,CE,NUCL,2050,1.5,GW
XY,CE,SubC,2050,3.4,GW
XY,CE,WSTT,2050,0.02,GW
XY,NR,BIOT,2050,0.61,GW
XY,NR,NUCL,2050,0.06,GW
XY,NR,OCHT,2050,2.95,GW
XY,NR,SubC,2050,2.4,GW
XY,NR,WSTT,2050,0.02,GW
XY,SO,BIOT,2050,0.63,GW
XY,SO,CCGT,2050,0.01,GW
XY,SO,OCHT,2050,0.16,GW
XY,SO,OILT,2050,0.31,GW
XY,SO,WSTT,2050,0.02,GW
YZ,CE,CCGT,2050,3.2,GW
YZ,CE,OCGT,2050,1.0,GW
YZ,CE,SubC,2050,1.0,GW
YZ,CE,SupC,2050,1.3,GW
YZ,NR,BIOT,2050,0.01,GW
YZ,NR,CCGT,2050,3.0,GW
YZ,NR,OCGT,2050,4.5,GW
YZ,NR,OILT,2050,0.4,GW
YZ,NR,SubC,2050,6.0,GW
YZ,NR,SupC,2050,4.0,GW
