snapshot,country,sector,value,unit
2050-07-08 13:00:00,XY,Inflexible_Power,10455.6,MW
2050-07-09 14:00:00,XY,Inflexible_Power,11452.0,MW
2050-07-10 15:00:00,XY,Inflexible_Power,11398.0,MW
2050-07-11 16:00:00,XY,Inflexible_Power,11274.4,MW
2050-07-12 17:00:00,XY,Inflexible_Power,11148.400000000001,MW
2050-07-13 18:00:00,XY,Inflexible_Power,9616.0,MW
2050-07-14 19:00:00,XY,Inflexible_Power,9335.6,MW
2050-07-15 20:00:00,XY,Inflexible_Power,10299.6,MW
2050-07-16 21:00:00,XY,Inflexible_Power,10209.199999999999,MW
2050-07-17 22:00:00,XY,Inflexible_Power,10442.0,MW
2050-07-18 23:00:00,XY,Inflexible_Power,10780.4,MW
2050-07-20 00:00:00,XY,Inflexible_Power,9682.0,MW
2050-07-21 01:00:00,XY,Inflexible_Power,9420.0,MW
2050-07-22 02:00:00,XY,Inflexible_Power,8919.6,MW
2050-07-23 03:00:00,XY,Inflexible_Power,8614.8,MW
2050-07-24 04:00:00,XY,Inflexible_Power,8476.4,MW
2050-07-25 05:00:00,XY,Inflexible_Power,8852.8,MW
2050-07-26 06:00:00,XY,Inflexible_Power,8446.4,MW
2050-07-27 07:00:00,XY,Inflexible_Power,8536.4,MW
2050-07-28 08:00:00,XY,Inflexible_Power,8555.6,MW
2050-07-29 09:00:00,XY,Inflexible_Power,10527.2,MW
2050-07-30 10:00:00,XY,Inflexible_Power,10910.4,MW
2050-07-31 11:00:00,XY,Inflexible_Power,11127.2,MW
2050-08-01 12:00:00,XY,Inflexible_Power,11012.399999999998,MW
2050-08-02 13:00:00,XY,Inflexible_Power,10429.6,MW
2050-08-03 14:00:00,XY,Inflexible_Power,9492.4,MW
2050-08-04 15:00:00,XY,Inflexible_Power,9754.0,MW
2050-08-05 16:00:00,XY,Inflexible_Power,11412.8,MW
2050-08-06 17:00:00,XY,Inflexible_Power,11318.400000000001,MW
2050-08-07 18:00:00,XY,Inflexible_Power,10818.4,MW
2050-08-08 19:00:00,XY,Inflexible_Power,10491.2,MW
2050-08-09 20:00:00,XY,Inflexible_Power,11007.2,MW
2050-08-10 21:00:00,XY,Inflexible_Power,9559.2,MW
2050-08-11 22:00:00,XY,Inflexible_Power,9697.6,MW
2050-08-12 23:00:00,XY,Inflexible_Power,10191.2,MW
2050-08-14 00:00:00,XY,Inflexible_Power,9901.199999999999,MW
2050-08-15 01:00:00,XY,Inflexible_Power,9187.2,MW
2050-08-16 02:00:00,XY,Inflexible_Power,9230.4,MW
2050-08-17 03:00:00,XY,Inflexible_Power,8321.2,MW
2050-08-18 04:00:00,XY,Inflexible_Power,8166.0,MW
2050-08-19 05:00:00,XY,Inflexible_Power,8507.6,MW
2050-08-20 06:00:00,XY,Inflexible_Power,8624.8,MW
2050-08-21 07:00:00,XY,Inflexible_Power,8830.0,MW
2050-08-22 08:00:00,XY,Inflexible_Power,9585.199999999999,MW
2050-08-23 09:00:00,XY,Inflexible_Power,10392.0,MW
2050-08-24 10:00:00,XY,Inflexible_Power,9475.2,MW
