flow,snapshot,value,unit
XY_CE_to_XY_NR,2030-07-06 11:00:00,-1342.2749999980574,MW
XY_CE_to_XY_NR,2030-07-07 12:00:00,-1364.3249999980585,MW
XY_CE_to_XY_NR,2030-07-08 13:00:00,-1311.9956154550905,MW
XY_CE_to_XY_NR,2030-07-09 14:00:00,-1453.074999998062,MW
XY_CE_to_XY_NR,2030-07-10 15:00:00,-1400.2749999980597,MW
XY_CE_to_XY_NR,2030-07-11 16:00:00,-1355.37499999806,MW
XY_CE_to_XY_NR,2030-07-12 17:00:00,-1255.7749999980624,MW
XY_CE_to_XY_NR,2030-07-13 18:00:00,-1277.574999998065,MW
XY_CE_to_XY_NR,2030-07-14 19:00:00,-1189.9249999980677,MW
XY_CE_to_XY_NR,2030-07-15 20:00:00,-1090.3249999980353,MW
XY_CE_to_XY_NR,2030-07-16 21:00:00,-1081.074999998062,MW
XY_CE_to_XY_NR,2030-07-17 22:00:00,-1077.87499999803,MW
XY_CE_to_XY_NR,2030-07-18 23:00:00,-959.2999999980277,MW
XY_CE_to_XY_NR,2030-07-20 00:00:00,-1045.6749999980511,MW
XY_CE_to_XY_NR,2030-07-21 01:00:00,-1102.74999999805,MW
XY_CE_to_XY_NR,2030-07-22 02:00:00,-1134.5999999980513,MW
XY_CE_to_XY_NR,2030-07-23 03:00:00,-1251.848684208593,MW
XY_CE_to_XY_NR,2030-07-24 04:00:00,-1273.1249999980457,MW
XY_CE_to_XY_NR,2030-07-25 05:00:00,-1295.1499999980433,MW
XY_CE_to_XY_NR,2030-07-26 06:00:00,-1331.7499999980455,MW
XY_CE_to_XY_NR,2030-07-27 07:00:00,-1323.899999998049,MW
XY_CE_to_XY_NR,2030-07-28 08:00:00,-1343.9249999980527,MW
XY_CE_to_XY_NR,2030-07-29 09:00:00,-1122.7749999980517,MW
XY_CE_to_XY_NR,2030-07-30 10:00:00,-1070.7749999980513,MW
XY_CE_to_XY_NR,2030-07-31 11:00:00,-1294.3749999980587,MW
XY_CE_to_XY_NR,2030-08-01 12:00:00,-1103.147727271057,MW
XY_CE_to_XY_NR,2030-08-02 13:00:00,-1181.947727271058,MW
XY_CE_to_XY_NR,2030-08-03 14:00:00,-1381.1477272710595,MW
XY_CE_to_XY_NR,2030-08-04 15:00:00,-1474.868195941806,MW
XY_CE_to_XY_NR,2030-08-05 16:00:00,-1170.9749999980645,MW
XY_CE_to_XY_NR,2030-08-06 17:00:00,-1179.4749999980656,MW
XY_CE_to_XY_NR,2030-08-07 18:00:00,-1002.7749999980631,MW
XY_CE_to_XY_NR,2030-08-08 19:00:00,-974.9749999980622,MW
XY_CE_to_XY_NR,2030-08-09 20:00:00,-1026.849999998036,MW
XY_CE_to_XY_NR,2030-08-10 21:00:00,-1175.4749999980602,MW
XY_CE_to_XY_NR,2030-08-11 22:00:00,-1144.2249999980613,MW
XY_CE_to_XY_NR,2030-08-12 23:00:00,-976.8749999980557,MW
